"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Chocolate & Tan dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-chocolate-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-chocolate-tan-1200.jpg","Chocolate & Tan dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=chocolate-tan","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, chocolate & tan dachshund"
"Cream dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-cream-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-cream-1200.jpg","Cream dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=cream","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, cream dachshund"
"Dapple dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-dapple-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-dapple-1200.jpg","Dapple dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=dapple","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, dapple dachshund"
"Wirehaired dachshund — The Long Dog Gift Box","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-wirehaired-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/starter-set/new-doxie-starter-set-wirehaired-1200.jpg","Wirehaired dachshund gift — The Long Dog Gift Box. Puzzle, mug and a coat sticker. $84 instead of $94, in up to 3 packages. The box you give someone who already has a dachshund and does not need another mug — except this is the mug with their actual dog on it, next to a puzzle that takes an evening and the sticker that ends up on their laptop. Three things that do…","https://badger-and-bone.pages.dev/p/new-doxie-starter-set/?utm_source=pinterest&utm_medium=pin&utm_campaign=new-doxie-starter-set_202609&utm_content=feed&utm_term=wirehaired","","bundle, gift, gift-set, dachshund, puzzle, mug, best-value, dachshund gift, doxie, wiener dog, wirehaired dachshund"
"Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-1200.jpg","Name-Drop Ornament — dachshund gift. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog"
"Red dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-red-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-red-1200.jpg","Red dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=red","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, red dachshund"
"Black & Tan dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-black-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-black-tan-1200.jpg","Black & Tan dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=black-tan","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, black & tan dachshund"
"Chocolate & Tan dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-chocolate-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-chocolate-tan-1200.jpg","Chocolate & Tan dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=chocolate-tan","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, chocolate & tan dachshund"
"Cream dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-cream-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-cream-1200.jpg","Cream dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=cream","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, cream dachshund"
"Dapple dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-dapple-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-dapple-1200.jpg","Dapple dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=dapple","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, dapple dachshund"
"Wirehaired dachshund — Name-Drop Ornament","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-wirehaired-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/name-drop-ornament/name-drop-ornament-wirehaired-1200.jpg","Wirehaired dachshund gift — Name-Drop Ornament. Your dog’s coat and your dog’s name, 3.5″ of metal, printed both sides. The $12 ornament at the supermarket has a generic dog on it. This one has your dog’s coat and Otto 2026 on it, which is the difference between a decoration and the thing that comes out of the box first every December. Personalized ornaments are…","https://badger-and-bone.pages.dev/p/name-drop-ornament/?utm_source=pinterest&utm_medium=pin&utm_campaign=name-drop-ornament_202609&utm_content=feed&utm_term=wirehaired","","gift, ornament, christmas, dachshund, personalized, under-30, dachshund gift, doxie, wiener dog, wirehaired dachshund"
"Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","Coat Portrait Mug — dachshund gift. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog"
"Red dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-red-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-red-1200.jpg","Red dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=red","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, red dachshund"
"Black & Tan dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-black-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-black-tan-1200.jpg","Black & Tan dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=black-tan","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, black & tan dachshund"
"Chocolate & Tan dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-chocolate-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-chocolate-tan-1200.jpg","Chocolate & Tan dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=chocolate-tan","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, chocolate & tan dachshund"
"Cream dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-cream-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-cream-1200.jpg","Cream dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=cream","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, cream dachshund"
"Dapple dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-dapple-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-dapple-1200.jpg","Dapple dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=dapple","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, dapple dachshund"
"Wirehaired dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-wirehaired-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-wirehaired-1200.jpg","Wirehaired dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=wirehaired","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, wirehaired dachshund"
"11 oz dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","11 oz dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=11oz","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, 11 oz dachshund"
"15 oz dachshund — Coat Portrait Mug","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-mug/coat-portrait-mug-1200.jpg","15 oz dachshund gift — Coat Portrait Mug. Your exact dachshund, wrapped around a mug. Six coats, two sizes. The cheapest way to find out whether someone is a dachshund person: hand them this and watch them turn it around looking for their dog. They will find it. The Winston &amp; Bear mug is $16.99 with a generic dachshund on it. This is your dog’s coat…","https://badger-and-bone.pages.dev/p/coat-portrait-mug/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-mug_202609&utm_content=feed&utm_term=15oz","","gift, mug, kitchen, dachshund, under-40, dachshund gift, doxie, wiener dog, 15 oz dachshund"
"The Long Dog Puzzle","https://badger-and-bone.pages.dev/assets/img/long-dog-puzzle/long-dog-puzzle-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/long-dog-puzzle/long-dog-puzzle-1200.jpg","The Long Dog Puzzle — dachshund gift. 252 pieces of long dog. The name prints on the box lid, not the picture. A 252-piece puzzle is an evening with the family, not a mug. It is the one thing in this catalogue that takes three hours of someone’s attention rather than three seconds of recognition. The composition is landscape and uses all six coats at…","https://badger-and-bone.pages.dev/p/long-dog-puzzle/?utm_source=pinterest&utm_medium=pin&utm_campaign=long-dog-puzzle_202609&utm_content=feed","","gift, puzzle, games, dachshund, family, dachshund gift, doxie, wiener dog"
"Coat Portrait Canvas","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-1200.jpg","Coat Portrait Canvas — dachshund gift. A stretched canvas of your dog’s coat, 12×16 or 16×20, with the name if you want it. Crown &amp; Paw wants $79.95 for a canvas. West &amp; Willow’s median is $60 with most of its catalogue permanently on sale. The category p25 is $107 and the median $159.95 — so a $89 stretched canvas of your dog’s actual coat is the…","https://badger-and-bone.pages.dev/p/coat-portrait-canvas/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-canvas_202609&utm_content=feed","","gift, wall-art, canvas, dachshund, personalized, dachshund gift, doxie, wiener dog"
"Red dachshund — Coat Portrait Canvas","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-red-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-red-1200.jpg","Red dachshund gift — Coat Portrait Canvas. A stretched canvas of your dog’s coat, 12×16 or 16×20, with the name if you want it. Crown &amp; Paw wants $79.95 for a canvas. West &amp; Willow’s median is $60 with most of its catalogue permanently on sale. The category p25 is $107 and the median $159.95 — so a $89 stretched canvas of your dog’s actual coat is the…","https://badger-and-bone.pages.dev/p/coat-portrait-canvas/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-canvas_202609&utm_content=feed&utm_term=red","","gift, wall-art, canvas, dachshund, personalized, dachshund gift, doxie, wiener dog, red dachshund"
"Black & Tan dachshund — Coat Portrait Canvas","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-black-tan-1200.jpg","Gifts for dachshund owners","https://badger-and-bone.pages.dev/assets/img/coat-portrait-canvas/coat-portrait-canvas-black-tan-1200.jpg","Black & Tan dachshund gift — Coat Portrait Canvas. A stretched canvas of your dog’s coat, 12×16 or 16×20, with the name if you want it. Crown &amp; Paw wants $79.95 for a canvas. West &amp; Willow’s median is $60 with most of its catalogue permanently on sale. The category p25 is $107 and the median $159.95 — so a $89 stretched canvas of your dog’s actual coat is the…","https://badger-and-bone.pages.dev/p/coat-portrait-canvas/?utm_source=pinterest&utm_medium=pin&utm_campaign=coat-portrait-canvas_202609&utm_content=feed&utm_term=black-tan","","gift, wall-art, canvas, dachshund, personalized, dachshund gift, doxie, wiener dog, black & tan dachshund"
